url,BTC,BEP20,BECH32,Loop,KCC,Cash,ERC20,SOL,TRC20,AVAX,MATIC,Arbitrum,Network,DOGE,BEP2,DOT,Dash,One,zkSync,Linea,OP,EOS,LTC,Monero,Neo,Ripple,Matic,Verge
https://www.playerup.com/middleman/payment/bitcoin.php,38KkqFTGE8ErAXrL3eE67XkfEvZBjyveqz,0x041fedb4de9477e67c5212ed852c45a2ad57965c,bc1q9jfs46ksewkpeeraplkuym3tmgteq4nsfhaqmn,3QhMbCVX1kdYU3YVUBeJ77WqtsWd4SrFEE,0xd02785d8a3d4e8f5ac9087cd3616ace75ed78a2a,,,,,,,,,,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/bitcoincash.php,,,,,,qpm08ntfjru74cgsc6qf96yhj466t4ukmg3l82jty7,,,,,,,,,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/binancecoin.php,,0xfe69c92ad05ce854029af0a26022d360830381cb,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/usdcoin.php,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,,,0x799638e8b1a30c07445057f91b320439d18a1a09,4rWCqZw2sjZQUAEz1msGdSHrp7Bdtz7M75bqtdVBmdt6,TBtD6cZ6DrG1VoDNtpKVdfzzSZ1Ur7p7Ba,0x892a2b9f43620fab299987ee55d7d38fc5074817,0x892a2b9f43620fab299987ee55d7d38fc5074817,0x44536f970385db0891d3d59179dfcb7f74896cc4,0x39becea6bca892b2db86a8fcc894f50c0a0f6bba,,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/dogecoin.php,,0x041fedb4de9477e67c5212ed852c45a2ad57965c,,,,,,,,,,,,DLvE117snPsuXZuggPs82CNGzQZZBgvWdZ,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/binanceusd.php,,0xee569eb4c936ba5edc3c37f97937aab802976799,,,,,0xee569eb4c936ba5edc3c37f97937aab802976799,,,,,,,,bnb10749k3j3lk763s9amgfhtyf72pfggf22x7glc0,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/polkadot.php,,,,,,,,,,,,,,,,16MXWT88AGxzkB5vU97aGefkwTRqMjdJNYth4eDfZbkxhHQW,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/chainlink.php,,0xee569eb4c936ba5edc3c37f97937aab802976799,,,,,0x799638e8b1a30c07445057f91b320439d18a1a09,,,,,,,,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/uniswap.php,,,,,,,0x799638e8b1a30c07445057f91b320439d18a1a09,,,,,,,,bnb10749k3j3lk763s9amgfhtyf72pfggf22x7glc0,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/dash.php,,,,,,,,,,,,,,,,,XiRmPnnGX9oE81MwdUhyh97DiFNHZjtdNz,,,,,,,,,,,
https://www.playerup.com/middleman/payment/ethereum.php,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,0x9f0acee46d20f0cddd42e3c8c535499b4f0fe3c0,,0xfe69c92ad05ce854029af0a26022d360830381cb,,,,,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,,,0x44536f970385db0891d3d59179dfcb7f74896cc4,0x6e14ebeB24E4A3cb0d39F7b88e39FF435e7D8760,0x892a2b9f43620fab299987ee55d7d38fc5074817,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,,,,,
https://www.playerup.com/middleman/payment/eos.php,,,,,,,,,,,,,,,,,,,,,,kucoindoteos,,,,,,
https://www.playerup.com/middleman/payment/litecoin.php,,,,,,,,,,,,,,,,,,,,,,,MScyyTN3BYgQAmgm9fUthVdCFgx7E6Cg62,,,,,
https://www.playerup.com/middleman/payment/monero.php,,,,,,,,,,,,,,,,,,,,,,,,8BvoVRkwFnjBHkM1xaWJVx5dwALPt36My6kSjUMhC5x4h36Dt9mMr822So1emFtfKBMHSvuFTrUnt1Efubp98oEJUm9ZR3A,,,,
https://www.playerup.com/middleman/payment/neo.php,,,,,,,,,,,,,,,,,,,,,,,,,AU5p4mWLN6EbWQazSj3j96r12U1Y8aNoer,,,
https://www.playerup.com/middleman/payment/ripple.php,,,,,,,,,,,,,,,,,,,,,,,,,,rNFugeoj3ZN8Wv6xhuLegUBBPXKCyWLRkB,,
https://www.playerup.com/middleman/payment/solana.php,,,,,,,,LYpqVfgSzMvnuNoFC3M6nQfY8wr3nY7kSXMiuSkFJrz,,,,,,,,,,,,,,,,,,,,
https://www.playerup.com/middleman/payment/tether.php,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,0x9f0acee46d20f0cddd42e3c8c535499b4f0fe3c0,,0x799638e8b1a30c07445057f91b320439d18a1a09,GWC7yhbuJxVkjkg3FbhP4ufEKa7miGsViAdDywp6fuVQ,TVNf8oaNBh65awqEXVD8kx1gJ1JZaYijGM,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,0x44536f970385db0891d3d59179dfcb7f74896cc4,,,,,,0x44536f970385db0891d3d59179dfcb7f74896cc4,
https://www.playerup.com/middleman/payment/verge.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCbGtYHJJDfAsBZWk1DXrPYdsmzxQDkhin
